model_name,formula,family,offset,covariance,term,estimate_log,se_log,z,p_value,irr,irr_ci_low,irr_ci_high,n_rows,n_sites,converged,model_aic,notes
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Artificial Reef]",0.39752791340896143,0.6022743458047264,0.6600445730056892,0.5092252260351107,1.4881413324846766,0.45707485126180597,4.845080886283104,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Eelgrass]",0.8270270608110319,0.4116335538601815,2.009134224009217,0.044522901017081735,2.2865109676695567,1.0204463406114357,5.123378072129259,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Kelp Forest]",-0.14961217989957543,0.3909772071032393,-0.3826621531420108,0.7019702797629245,0.8610418410144259,0.40015095138620654,1.8527834293762677,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Soft Bottom]",1.7158722110670364,0.3597897541167809,4.769096927952254,1.850536110753991e-06,5.561524220480283,2.7475160556016305,11.25764182230261,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Sponge Garden]",-21.253231076532735,0.7319795958539186,-29.0352780281245,2.3609675545246198e-185,5.886254301861987e-10,1.402093123236416e-10,2.4711618031626652e-09,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
P2_eelgrass_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,1.7173575635111196,0.3784634880927817,4.537710023668395,5.686838342771116e-06,5.5697911822299915,2.6527126485198,11.694660494402738,3978,133,True,9778.850328888046,Poisson sensitivity: Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-2.798254527422317,0.7549861102106694,-3.7063655735884984,0.00021025475122369555,0.060916297610132,0.013870373557309908,0.26753391314183644,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Admiralty Inlet]",1.3878388553609238,0.678110103436273,2.046627602697781,0.04069466252926196,4.006182750346224,1.0605286127295377,15.133491012434082,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Hood Canal]",3.5823274325425176,0.6985196582376815,5.128456143353919,2.921279321224355e-07,35.957131331318465,9.14542779536988,141.372861117799,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Howe Sound]",0.2565143310551216,0.8717443323547338,0.2942540852112357,0.768563754940739,1.292417287370348,0.23408448914109603,7.135639148166363,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
