Prey_Indicator,N_Present,N_Absent,Mean_Present,Mean_Absent,Difference,U_Statistic,P_Value
Oyster,21,90,3.686621941785134,1.6967129937032692,1.9899089480818648,1297.0,0.004902058031400289
Mussel,8,103,1.7268891334613448,2.1000788072144783,-0.3731896737531335,462.0,0.5484809613613232
