Site,Lat,Long
Seattle Waterfront,47.608873,-122.349157
Seddal Wall,48.873114,-125.249996
Sekiu,48.267835,-124.297926
Shirttail Reef,48.5887,-123.021767
Skyline,48.491072,-122.690203
Smallpox Bay,48.541072,-123.161846
Smith Island,48.317517,-122.849206
South Hat Island,48.003363,-122.301536
Speiden Southwest,48.633214,-123.115547
Squaxin Island,47.1676,-122.89592
Steilacoom Marina,47.168357,-122.614171
Strawberry Falls,48.441679,-122.931917
Sucia Island - Lawson's Bluff,48.76691,-122.918814
Sucia Island - Shallow Bay,48.762198,-122.917962
Sund Rock,47.435212,-123.119796
Sund Rock North,47.435963,-123.119565
Sund Rock South,47.434327,-123.119777
Sunnyside Beach Park,47.179051,-122.592
Sunrise Beach State Park,47.349115,-122.555572
Tacoma Narrows,47.265961,-122.550229
Tacoma Narrows - Point Evans,47.283592,-122.547394
The Pinnacle,47.721325,-122.88082
Three Tree Point,47.45313,-122.378457
Three Tree Point North,47.45607,-122.376451
Tire Reef N Saltwater State Park,47.375459,-122.327986
Titlow Beach Park,47.247113,-122.554303
Triton Cove,47.605289,-122.981388
Unknown Hornby Island Site 1,49.555586,-124.67968
Unknown Hornby Island Site 2,49.540619,-124.631455
Urchin Rocks South,48.41568,-122.663185
Whale Rocks,48.434533,-122.934
Whytecliff Park,49.371863,-123.292556
Widmer Reef,47.30651,-122.508343
Wing Point,47.61824554,-122.489575
Wreck of the Ranger,48.102921,-122.778725
Yellow House,47.400139,-123.142453
Young Island West,48.474,-122.691359
Z's Reef,47.246737,-122.603261
Cattle Point,48.45148,-122.961402
Dallas Banks,48.133602,-122.934924
Eagle Cove,48.459734,-123.033258
Glen Acres,47.48005,-122.448455
Green Point,48.118525,-123.315716
Lawrence Point,48.66048,-122.741701
Pulali Point West Wall,47.735708,-122.85479
Reef Point,48.536839,-122.718458
Salmon Beach,47.295776,-122.530768
Watmaugh Bay,48.431304,-122.803311
Arsenic Wall,47.298857,-122.501594
Glen Ayr Ravine,47.419888,-123.129494
Lowman Beach Park,47.540152,-122.397713
Cliff Island,48.590582,-123.011323
Maritime Pier,47.330031,-122.578165
Deadman Island,48.458797,-122.943743
7 Seas Dock,47.328434,-122.57666
Anvil Island,49.515547,-123.295337
Bird Islet,49.36309,-123.291585
Boeing Creek Reef,47.7496,-122.387231
Bowen,49.380682,-123.314916
Brigade,49.490065,-123.329092
Cherry Point,48.860126,-122.74981
Christie Islet,49.499396,-123.301971
Clallam Bay West,48.256822,-124.275318
Collingwood Day Marker,49.346592,-123.434192
Dalco Wall,47.328714,-122.50081
Edmonds Underwater Park Fishing Pier,47.811302,-122.389332
Elliot Bay Marina,47.627001,-122.391019
Enchanted Forest,49.422304,-123.410877
Fox Island Bridge,47.277656,-122.649175
Freeland Park,48.016187,-122.529818
Grain Terminal,47.624131,-122.369154
Hat Island Sponge Garden,48.036862,-122.341154
Hutt Island Day Marker,49.409738,-123.376047
Long Island Wall,48.442299,-122.931186
Lower Elwha,48.13964,-123.585069
North Wall Point Defiance,47.317497,-122.532098
Passage Island,49.346019,-123.304703
Richmond Beach,47.763867,-122.38792
Rock 305,47.95185,-124.6698
Sirens of Spring,47.618148,-122.360893
Tacoma Old Town Pier,47.277026,-122.466253
Teahwhit Head,47.87103,-124.60768
Thea's Park - Foss Waterway,47.253593,-122.432768
Tongue Point,48.168347,-123.710969
Triton Head,47.604708,-122.980735
Mike's Beach Resort,47.569882,-123.012899
