Site_Eelgrass_Category,N,Mean,Std,Median,Min,Max,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95
Eelgrass Present at Site,1698,18.95,8.32,19.0,1.0,85.0,0.016,0.096,0.17,0.248,0.253,0.12,0.054,0.022,0.009,0.005,0.002,0.004,0.001,0.0,0.0,0.0,0.0,0.001,0.0
No Eelgrass at Site,259,22.14,16.53,17.0,1.0,68.0,0.097,0.22,0.116,0.085,0.085,0.039,0.085,0.112,0.046,0.019,0.039,0.035,0.015,0.008,0.0,0.0,0.0,0.0,0.0
