SiteName,SED_SOURCE_A,SED_SOURCE_B,SED_SOURCE_F,SED_SOURCE_O,SED_SOURCE_X
Possession Point Ferry,False,True,False,False,False
Possession Point Fingers,False,True,False,False,False
Pulali Point,False,True,False,False,False
Pulali Point West Wall,False,True,False,False,False
Redondo Beach,False,False,True,False,False
Reef Point,False,True,False,False,False
Reuben Tarte,False,False,False,False,True
Richmond Beach,True,False,False,False,False
Rock 305,False,True,False,False,False
Rosario Beach Urchin Rocks,False,False,False,True,False
Rosario Beach Urchin Rocks North,False,True,False,False,False
Rosario Head,False,False,False,False,True
Rosario Wall,False,False,False,False,True
Rosie's Ravine,False,True,False,False,False
Ruston - Katie Downs,True,False,False,False,False
Salmon Beach,True,False,False,False,False
Salt Creek,False,True,False,False,False
Saltar's Point,True,False,False,False,False
Saltwater State Park,False,False,True,False,False
Sares Head,False,True,False,False,False
Scenic Beach State Park,False,True,False,False,False
Seabeck Bay,False,True,False,False,False
Seattle Waterfront,False,False,False,False,True
Sekiu,True,False,False,False,False
Shirttail Reef,False,True,False,False,False
Sirens of Spring,False,False,False,False,True
Skyline,False,False,False,False,True
Smallpox Bay,False,False,False,False,True
South Hat Island,True,False,False,False,False
Speiden Southwest,False,True,False,False,False
Squaxin Island,False,True,False,False,False
Steilacoom Marina,True,False,False,False,False
Strawberry Falls,False,False,False,False,True
Sucia Island - Lawson's Bluff,False,False,False,False,True
Sucia Island - Shallow Bay,False,True,False,False,False
Sund Rock,True,False,False,False,False
Sund Rock North,True,False,False,False,False
Sund Rock South,False,True,False,False,False
Sunnyside Beach Park,True,False,False,False,False
Sunrise Beach State Park,True,False,False,False,False
Tacoma Narrows,True,False,False,False,False
Tacoma Narrows - Point Evans,True,False,False,False,False
Tacoma Old Town Pier,True,False,False,False,False
Teahwhit Head,False,True,False,False,False
The Pinnacle,True,False,False,False,False
Thea's Park - Foss Waterway,False,False,False,False,True
Three Tree Point,True,False,False,False,False
Three Tree Point North,True,False,False,False,False
Tire Reef N Saltwater State Park,False,True,False,False,False
Titlow Beach Park,True,False,False,False,False
Tongue Point,False,True,False,False,False
Triton Cove,True,False,False,False,False
Triton Head,True,False,False,False,False
Urchin Rocks South,False,False,False,False,True
Watmaugh Bay,False,False,False,False,True
Whale Rocks,False,False,False,False,True
Widmer Reef,False,True,False,False,False
Wing Point,True,False,False,False,False
Wreck of the Ranger,True,False,False,False,False
Yellow House,True,False,False,False,False
Young Island West,False,False,False,False,True
Z's Reef,True,False,False,False,False
