SiteName,VER_UNIT_ ,VER_UNIT_M,VER_UNIT_N,VER_UNIT_W
Sares Head,False,False,True,False
Scenic Beach State Park,True,False,False,False
Seabeck Bay,True,False,False,False
Seattle Waterfront,True,False,False,False
Sekiu,True,False,False,False
Shirttail Reef,False,False,True,False
Sirens of Spring,True,False,False,False
Skyline,True,False,False,False
Smallpox Bay,False,True,False,False
South Hat Island,True,False,False,False
Speiden Southwest,False,False,True,False
Squaxin Island,True,False,False,False
Steilacoom Marina,True,False,False,False
Strawberry Falls,False,True,False,False
Sucia Island - Lawson's Bluff,False,False,True,False
Sucia Island - Shallow Bay,False,False,True,False
Sund Rock,False,False,True,False
Sund Rock North,False,False,True,False
Sund Rock South,False,False,True,False
Sunnyside Beach Park,True,False,False,False
Sunrise Beach State Park,True,False,False,False
Tacoma Narrows,True,False,False,False
Tacoma Narrows - Point Evans,True,False,False,False
Tacoma Old Town Pier,True,False,False,False
Teahwhit Head,False,False,False,True
The Pinnacle,True,False,False,False
Thea's Park - Foss Waterway,True,False,False,False
Three Tree Point,True,False,False,False
Three Tree Point North,True,False,False,False
Tire Reef N Saltwater State Park,True,False,False,False
Titlow Beach Park,True,False,False,False
Tongue Point,False,True,False,False
Triton Cove,True,False,False,False
Triton Head,True,False,False,False
Urchin Rocks South,False,False,True,False
Watmaugh Bay,False,False,True,False
Whale Rocks,False,True,False,False
Widmer Reef,True,False,False,False
Wing Point,True,False,False,False
Wreck of the Ranger,True,False,False,False
Yellow House,True,False,False,False
Young Island West,False,False,True,False
Z's Reef,True,False,False,False
