SiteName,HAB_CALC_2.0,HAB_CALC_3.0,HAB_CALC_4.0,HAB_CALC_5.0,HAB_CALC_6.0,HAB_CALC_7.0,HAB_CALC_8.0,HAB_CALC_9.0
Metridium Wall,False,False,False,False,False,True,False,False
Mike's Beach Resort,False,False,False,False,False,False,True,False
Misery Point,False,False,False,False,False,False,False,True
Mukilteo Edgewater Park,False,False,False,False,False,True,False,False
Mukilteo Fuel Pier,False,False,False,True,False,False,False,False
Mukilteo Lighthouse,False,False,False,False,True,False,False,False
Mukilteo T-Dock,False,False,False,True,False,False,False,False
Narrows Bridge (Tacoma Side),False,False,False,False,False,True,False,False
Narrows Bridge (Tacoma side),False,False,False,False,False,True,False,False
Norrander's,False,False,False,False,False,True,False,False
North Beach,False,False,False,False,False,False,False,True
North Wall Deception Pass,False,False,False,True,False,False,False,False
North Wall Point Defiance,False,False,False,False,True,False,False,False
Northwest Island,False,True,False,False,False,False,False,False
O'Neal Island,False,False,True,False,False,False,False,False
Octopus Hole,False,False,False,False,False,True,False,False
Olalla Boat Launch,False,False,False,False,True,False,False,False
Old Tacoma Outboard Association,False,False,False,False,False,True,False,False
Old Town Dock,False,False,True,False,False,False,False,False
Orcas Island Eelgrass,False,False,False,False,False,False,True,False
Owen Beach,False,False,False,False,True,False,False,False
Partridge Point,False,False,False,False,False,False,False,True
Picnic Cove,False,False,False,True,False,False,False,False
Pile Point,False,True,False,False,False,False,False,False
Pirate Cove,False,False,False,True,False,False,False,False
Point Caution,False,False,True,False,False,False,False,False
Point Dalco,False,False,False,False,True,False,False,False
Point Defiance Boathouse,False,False,False,False,True,False,False,False
Point Defiance North Wall,False,False,False,False,True,False,False,False
Point Defiance Wall,False,False,False,False,True,False,False,False
Point Defiance West Kelp Beds,False,False,False,False,True,False,False,False
Point Defiance West Wall,False,False,False,False,True,False,False,False
Point George,False,False,False,True,False,False,False,False
Point Hudson,False,False,False,True,False,False,False,False
Point Ruston,False,False,True,False,False,False,False,False
Point Ruston Ferry,False,False,True,False,False,False,False,False
Point Vashon,False,False,False,False,True,False,False,False
Point Whitehorn,False,False,False,False,True,False,False,False
Point Whitney Shellfish Lab,False,False,False,False,False,False,True,False
Possession Point Ferry,False,False,True,False,False,False,False,False
Possession Point Fingers,False,False,False,False,False,True,False,False
Pulali Point,False,False,False,False,False,False,True,False
Pulali Point West Wall,False,False,False,True,False,False,False,False
Redondo Beach,False,False,False,False,True,False,False,False
Reef Point,False,False,True,False,False,False,False,False
Reuben Tarte,False,False,True,False,False,False,False,False
Richmond Beach,False,False,False,False,False,False,False,True
Rock 305,True,False,False,False,False,False,False,False
Rosario Beach Urchin Rocks,False,False,False,False,True,False,False,False
Rosario Beach Urchin Rocks North,False,True,False,False,False,False,False,False
Rosario Head,False,True,False,False,False,False,False,False
Rosario Wall,False,False,False,True,False,False,False,False
Rosie's Ravine,False,False,False,True,False,False,False,False
Ruston - Katie Downs,False,False,True,False,False,False,False,False
Salmon Beach,False,False,False,False,True,False,False,False
Salt Creek,False,True,False,False,False,False,False,False
Saltar's Point,False,False,False,False,False,False,False,True
Saltwater State Park,False,False,False,False,True,False,False,False
Sares Head,False,True,False,False,False,False,False,False
