SiteName,FUC_UNIT_Richness,FUC_UNIT_Shannon,FUC_UNIT_Simpson,FUC_UNIT_Evenness
Point Whitney Shellfish Lab,1,0.0,0.0,1.0
Possession Point Ferry,1,0.0,0.0,1.0
Possession Point Fingers,1,0.0,0.0,1.0
Pulali Point,1,0.0,0.0,1.0
Redondo Beach,1,0.0,0.0,1.0
Reuben Tarte,1,0.0,0.0,1.0
Rosario Beach Urchin Rocks,1,0.0,0.0,1.0
Rosario Beach Urchin Rocks North,1,0.0,0.0,1.0
Rosario Head,1,0.0,0.0,1.0
Rosario Wall,1,0.0,0.0,1.0
Rosie's Ravine,1,0.0,0.0,1.0
Ruston - Katie Downs,1,0.0,0.0,1.0
Salt Creek,1,0.0,0.0,1.0
Saltar's Point,1,0.0,0.0,1.0
Saltwater State Park,1,0.0,0.0,1.0
Sares Head,1,0.0,0.0,1.0
Scenic Beach State Park,1,0.0,0.0,1.0
Seabeck Bay,1,0.0,0.0,1.0
Seattle Waterfront,1,0.0,0.0,1.0
Sekiu,1,0.0,0.0,1.0
Shirttail Reef,1,0.0,0.0,1.0
Skyline,1,0.0,0.0,1.0
Smallpox Bay,1,0.0,0.0,1.0
South Hat Island,1,0.0,0.0,1.0
Speiden Southwest,1,0.0,0.0,1.0
Squaxin Island,1,0.0,0.0,1.0
Steilacoom Marina,1,0.0,0.0,1.0
Strawberry Falls,1,0.0,0.0,1.0
Sucia Island - Lawson's Bluff,1,0.0,0.0,1.0
Sucia Island - Shallow Bay,1,0.0,0.0,1.0
Sund Rock,1,0.0,0.0,1.0
Sund Rock North,1,0.0,0.0,1.0
Sund Rock South,1,0.0,0.0,1.0
Sunnyside Beach Park,1,0.0,0.0,1.0
Sunrise Beach State Park,1,0.0,0.0,1.0
Tacoma Narrows,1,0.0,0.0,1.0
Tacoma Narrows - Point Evans,1,0.0,0.0,1.0
The Pinnacle,1,0.0,0.0,1.0
Three Tree Point,1,0.0,0.0,1.0
Three Tree Point North,1,0.0,0.0,1.0
Tire Reef N Saltwater State Park,1,0.0,0.0,1.0
Titlow Beach Park,1,0.0,0.0,1.0
Triton Cove,1,0.0,0.0,1.0
Urchin Rocks South,1,0.0,0.0,1.0
Whale Rocks,1,0.0,0.0,1.0
Widmer Reef,1,0.0,0.0,1.0
Wing Point,1,0.0,0.0,1.0
Wreck of the Ranger,1,0.0,0.0,1.0
Yellow House,1,0.0,0.0,1.0
Young Island West,1,0.0,0.0,1.0
Z's Reef,1,0.0,0.0,1.0
Cattle Point,1,0.0,0.0,1.0
Dallas Banks,1,0.0,0.0,1.0
Eagle Cove,1,0.0,0.0,1.0
Glen Acres,1,0.0,0.0,1.0
Green Point,1,0.0,0.0,1.0
Lawrence Point,1,0.0,0.0,1.0
Pulali Point West Wall,1,0.0,0.0,1.0
Reef Point,1,0.0,0.0,1.0
Salmon Beach,1,0.0,0.0,1.0
Watmaugh Bay,1,0.0,0.0,1.0
Arsenic Wall,1,0.0,0.0,1.0
Glen Ayr Ravine,1,0.0,0.0,1.0
Lowman Beach Park,1,0.0,0.0,1.0
Cliff Island,1,0.0,0.0,1.0
Maritime Pier,1,0.0,0.0,1.0
Deadman Island,1,0.0,0.0,1.0
7 Seas Dock,1,0.0,0.0,1.0
Boeing Creek Reef,1,0.0,0.0,1.0
Cherry Point,1,0.0,0.0,1.0
Clallam Bay West,1,0.0,0.0,1.0
Dalco Wall,1,0.0,0.0,1.0
Edmonds Underwater Park Fishing Pier,1,0.0,0.0,1.0
Elliot Bay Marina,1,0.0,0.0,1.0
Fox Island Bridge,1,0.0,0.0,1.0
Freeland Park,1,0.0,0.0,1.0
Grain Terminal,1,0.0,0.0,1.0
Hat Island Sponge Garden,1,0.0,0.0,1.0
Long Island Wall,1,0.0,0.0,1.0
Lower Elwha,1,0.0,0.0,1.0
North Wall Point Defiance,1,0.0,0.0,1.0
Richmond Beach,1,0.0,0.0,1.0
Rock 305,1,0.0,0.0,1.0
Sirens of Spring,1,0.0,0.0,1.0
Tacoma Old Town Pier,1,0.0,0.0,1.0
Teahwhit Head,1,0.0,0.0,1.0
Thea's Park - Foss Waterway,1,0.0,0.0,1.0
Tongue Point,1,0.0,0.0,1.0
Triton Head,1,0.0,0.0,1.0
Mike's Beach Resort,1,0.0,0.0,1.0
