SiteName,Lat,Long,LENGTH,UNIT_ID,PHY_IDENT,UNIT_TYPE,BC_CLASS,DETH_CLASS,NRDA_CLASS,GEO_MAPPER,GEO_EDITOR,GEO_MAP_DT,GEO_SOURCE,BIO_MAPPER,BIO_EDITOR,BIO_MAP_DT,BIO_SOURCE,BIO_SLIDE,SCALE,VIDEO_TAPE,VIDEO_DATE,VIDEO_TIME,BASE_MAP,CHART,EXP_CALC,EXP_OBSER,EXP_BIO,EXP_CLASS,ORI,SED_SOURCE,SED_ABUND,SED_DIR,CHNG_TYPE,HAB_CALC,SHORENAME,SM_TOT_PCT,SM1_TYPE,SM1_PCT,SM1_FT,SM2_TYPE,SM2_PCT,SM2_FT,SM3_TYPE,SM3_PCT,SM3_FT,RAMP,PIERDOCK,SLIP_SMALL,SLIP_LARGE,RAILROAD,RIPAR_PCT,RIPAR_FT,ITZ_WIDTH,ZONECOMP,VER_UNIT,GRA_UNIT,SED_UNIT,TRI_UNIT,SAL_UNIT,SPA_UNIT,FUC_UNIT,BAR_UNIT,BMU_UNIT,ULV_UNIT,GCA_UNIT,OYS_UNIT,MUS_UNIT,RED_UNIT,CAL_UNIT,SBR_UNIT,SAR_UNIT,CHB_UNIT,SUR_UNIT,DEN_UNIT,ZOS_UNIT,NER_UNIT,MAC_UNIT,BIO_UNIT,BIOUNITTXT,SHORENORM,FET_NORM,RIGHT_45,LEFT_45,MAX_FET_DI,MAX_FET,EFF_FET,TIDE_RNG,A1_FMTXT,A2_FMTXT,A3_FMTXT,A4_FMTXT,B1_FMTXT,B2_FMTXT,B3_FMTXT,B4_FMTXT,B5_FMTXT,C1_FMTXT,COMMENTS,Shape_Length,distance_to_shore_m
Bayrich Bay,48.580844,-122.999077,1481.546,6639.0,8/2/469/0,L,28.0,32.0,7.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:09:04,T36N_R02W SW,18423,P,P,X,P,4.0,A,M,X,S,8.0,SHAW IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,45.0,A1 B1 B2 C1,N,P, , , , ,P,P, ,C, ,P, , , ,P, , , , ,P, , ,VER-N GRA-P FUC-P BAR-P ULV-C OYS-P SBR-P ZOS-P,"LICHEN (VER), DUNE GRASS (GRA), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), OYSTERS (OYS), KELP (SBR), EELGRASS (ZOS)",196.0,0.2,0.2,2.5,172.0,5.2,0.8,1.4,"BEACH BERM (LOGS OVERLYING DUNE GRASSES OVERLYING SAND, PEBBLE); HIGH MARSH (BEDROCK); RAMP PLATFORM (BEDROCK)", , , ,BEACH FACE (SAND); RAMP PLATFORM (BEDROCK),BEACH WITH LOW TIDE TERRACE (SAND); RAMP PLATFORM (BEDROCK), , , , , ,1481.543665746628,99.49470190216456
Bell Island East,48.596069,-122.979414,1759.319,6616.0,8/2/446/0,L,4.0,3.0,3.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:03:15,T36N_R02W SW,18423,P,P,SP,SP,2.0,X,S,X,S,4.0,BELL IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,1.0,2.0,0.0,N,0.0,0.0,4.0,A1 B1 C1,N, , , , , ,P,C, ,P, , , , , , , , , , , ,C, ,VER-N FUC-P BAR-C ULV-P NER-C,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER)",70.0,0.0,0.0,0.0,0.0,4.4,1.5,1.4,LOW INCLINED CLIFF WITH CAVE (BEDROCK), , , ,RAMP PLATFORM (BEDROCK); LOW INCLINED CLIFF (BEDROCK), , , , , , ,1759.3360051318712,36.37342329540748
Bell Island West,48.59602,-122.981588,1759.319,6616.0,8/2/446/0,L,4.0,3.0,3.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:03:15,T36N_R02W SW,18423,P,P,SP,SP,2.0,X,S,X,S,4.0,BELL IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,1.0,2.0,0.0,N,0.0,0.0,4.0,A1 B1 C1,N, , , , , ,P,C, ,P, , , , , , , , , , , ,C, ,VER-N FUC-P BAR-C ULV-P NER-C,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER)",70.0,0.0,0.0,0.0,0.0,4.4,1.5,1.4,LOW INCLINED CLIFF WITH CAVE (BEDROCK), , , ,RAMP PLATFORM (BEDROCK); LOW INCLINED CLIFF (BEDROCK), , , , , , ,1759.3360051318712,5.23527300315205
Beverly Beach,48.060481,-122.514991,1252.261,3952.0,6/2/090/0,L,30.0,74.0,11.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990625.0,V, ,"1:12,000",WA 1997-05,1997.0,17:47:53,T30N_R02E SE,18423,P,P,X,P,4.0,A,M,X,S,8.0,BEVERLY BEACH,100.0,CB,80.0,1001.81,WB,20.0,250.45, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,21.0,A1 B1 B2 C1, , , , , , ,P,P,P,P, , , , ,P, , , , , ,C, , ,FUC-P BAR-P BMU-P ULV-P CAL-P ZOS-C,"ROCKWEED (FUC), BARNACLES (BAR), MUSSELS (BMU), GREEN ALGAE (ULV), GHOST/MUD SHRIMP (CAL), EELGRASS (ZOS)",248.0,2.5,2.6,4.2,314.0,5.8,1.9,2.3,SEAWALL (WOOD), , , ,SEAWALL (WOOD),BEACH FACE (SAND), , , , , ,1252.3034507242517,93.23588331109144
Blake Island South,47.53175,-122.49747,2379.726,3305.0,5/2/509/0,L,25.0,74.0,11.0,Harper,Harper,19991130.0,VPC,Dethier,Dethier,19991205.0,V, ,"1:12,000",WA 1997-07,1997.0,18:45:22,T24N_R02E SE,18445,SP,P,X,P,5.0,B,M,NW,E,7.0,BLAKE IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,80.0,1903.78,15.0,A1 B1 B2 C1, ,P, , , , ,P,P, ,P, , , , , ,P,C, , , ,P, , ,GRA-P FUC-P BAR-P ULV-P SBR-P SAR-C ZOS-P,"DUNE GRASS (GRA), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",207.0,1.7,3.3,4.1,129.0,12.5,3.5,2.4,"HIGH, STEEP CLIFF (LIVE TREES OVERLYING TILL)", , , ,"BEACH FACE (SAND, PEBBLE)","BEACH FACE (PEBBLE, SAND)", , , , , ,2379.7336180969683,60.97172844795811
Blakely Harbor Reef,47.596591,-122.498623,935.486,3120.0,5/2/324/0,L,13.0,66.0,10.0,Starkes,Harper,19990306.0,V,Dethier,Dethier,19990305.0,SV,"WA 1997-12-17,18","1:12,000",WA 1997-07,1997.0,19:20:48,T24N_R02E NE,18445,SP,P,SP,SP,4.0,A,S,X,S,4.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,10.0,93.55,15.0,A1 B1 C1,N, , , , , ,P,P, ,C, , , ,P, , , , , , , , , ,VER-N FUC-P BAR-P ULV-C RED-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED)",175.0,0.8,0.6,10.2,130.0,10.2,2.8,2.4,STEEP CLIFF OF MODERATE HEIGHT (BEDROCK), , , ,"BEACH FACE (SAND, PEBBLE, COBBLE)", , , , , , ,935.4928149097036,30.113130338391866
"Blakely Harbor, North",47.5945,-122.4801,2393.106,3105.0,5/2/309/0,L,16.0,66.0,10.0,Starkes,Harper,19990306.0,V,Dethier,Dethier,19990305.0,SV,"WA 1997-12-13,14","1:12,000",WA 1997-07,1997.0,19:17:30,T24N_R02E NE,18445,SP,SP,SP,SP,3.0,O,S,X,S,4.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,35.0,A1 B1 B2 C1, , , , , , ,P,C, ,C, , , ,C, ,P,P, , , , , , ,FUC-P BAR-C ULV-C RED-C SBR-P SAR-P,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR), SARGASSUM (SAR)",29.0,9.0,10.7,4.5,5.0,36.8,7.9,2.4,"LOW, STEEP CLIFF (TILL)", , , ,RAMP PLATFORM (VENEER OF SHELL OVERLYING BEDROCK),RAMP PLATFORM (BEDROCK), , , , , ,2393.1135288773607,932.6691123867311
Broken Point Cove Shaw,48.591285,-122.969294,858.286,6610.0,8/2/440/0,L,28.0,32.0,7.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:02:11,T36N_R02W SW,18423,P,P,X,P,4.0,F,M,X,S,8.0,SHAW IS,40.0,WB,40.0,343.31, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,50.0,429.14,50.0,A1 B1 C1, , , , , , , , , ,C, , , , , ,P, , , , ,C, , ,ULV-C SBR-P ZOS-C,"GREEN ALGAE (ULV), KELP (SBR), EELGRASS (ZOS)",334.0,0.1,0.3,0.4,358.0,4.4,0.6,1.4,LOW INCLINED CLIFF (LIVE TREES OVERLYING TILL OVERLYING BEDROCK); SEAWALL (WOOD), , , ,"TIDAL FLAT (SAND, PEBBLE)", , , , , , ,858.2796782775882,61.288749662744266
Broken Point East,48.594083,-122.965431,2530.597,6608.0,8/2/438/0,L,5.0,4.0,3.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:01:27,T36N_R02W SW,18423,SP,P,X,P,3.0,B,S,X,S,5.0,SHAW IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,5.0,126.53,5.0,A1 B1 C1,N, , , , , ,C,C, ,P, ,P, ,P, ,P,P, , , ,P, , ,VER-N FUC-C BAR-C ULV-P OYS-P RED-P SBR-P SAR-P ZOS-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), OYSTERS (OYS), RED ALGAE (RED), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",15.0,3.9,1.5,1.3,99.0,10.4,2.5,1.4,LOW INCLINED CLIFF (BEDROCK), , , ,HIGH TIDE PLATFORM (BEDROCK); LOW INCLINED CLIFF (BEDROCK), , , , , , ,2530.615259133966,39.4566619294044
Broken Point West,48.594669,-122.967602,2530.597,6608.0,8/2/438/0,L,5.0,4.0,3.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:01:27,T36N_R02W SW,18423,SP,P,X,P,3.0,B,S,X,S,5.0,SHAW IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,5.0,126.53,5.0,A1 B1 C1,N, , , , , ,C,C, ,P, ,P, ,P, ,P,P, , , ,P, , ,VER-N FUC-C BAR-C ULV-P OYS-P RED-P SBR-P SAR-P ZOS-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), OYSTERS (OYS), RED ALGAE (RED), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",15.0,3.9,1.5,1.3,99.0,10.4,2.5,1.4,LOW INCLINED CLIFF (BEDROCK), , , ,HIGH TIDE PLATFORM (BEDROCK); LOW INCLINED CLIFF (BEDROCK), , , , , , ,2530.615259133966,20.57227752266964
