SiteName,Lat,Long,LENGTH,UNIT_ID,PHY_IDENT,UNIT_TYPE,BC_CLASS,DETH_CLASS,NRDA_CLASS,GEO_MAPPER,GEO_EDITOR,GEO_MAP_DT,GEO_SOURCE,BIO_MAPPER,BIO_EDITOR,BIO_MAP_DT,BIO_SOURCE,BIO_SLIDE,SCALE,VIDEO_TAPE,VIDEO_DATE,VIDEO_TIME,BASE_MAP,CHART,EXP_CALC,EXP_OBSER,EXP_BIO,EXP_CLASS,ORI,SED_SOURCE,SED_ABUND,SED_DIR,CHNG_TYPE,HAB_CALC,SHORENAME,SM_TOT_PCT,SM1_TYPE,SM1_PCT,SM1_FT,SM2_TYPE,SM2_PCT,SM2_FT,SM3_TYPE,SM3_PCT,SM3_FT,RAMP,PIERDOCK,SLIP_SMALL,SLIP_LARGE,RAILROAD,RIPAR_PCT,RIPAR_FT,ITZ_WIDTH,ZONECOMP,VER_UNIT,GRA_UNIT,SED_UNIT,TRI_UNIT,SAL_UNIT,SPA_UNIT,FUC_UNIT,BAR_UNIT,BMU_UNIT,ULV_UNIT,GCA_UNIT,OYS_UNIT,MUS_UNIT,RED_UNIT,CAL_UNIT,SBR_UNIT,SAR_UNIT,CHB_UNIT,SUR_UNIT,DEN_UNIT,ZOS_UNIT,NER_UNIT,MAC_UNIT,BIO_UNIT,BIOUNITTXT,SHORENORM,FET_NORM,RIGHT_45,LEFT_45,MAX_FET_DI,MAX_FET,EFF_FET,TIDE_RNG,A1_FMTXT,A2_FMTXT,A3_FMTXT,A4_FMTXT,B1_FMTXT,B2_FMTXT,B3_FMTXT,B4_FMTXT,B5_FMTXT,C1_FMTXT,COMMENTS,Shape_Length,distance_to_shore_m
Burrows Lighthouse,48.47773,-122.71458,1031.889,5339.0,7/3/171/0,L,4.0,2.0,1.0,Harper,Harper,19990601.0,VPC,Dethier,Dethier,19990613.0,V, ,"1:12,000",WA 1997-03,1997.0,19:12:35,T35N_R01E SW,18423,SE,SE,X,SE,1.0,X,S,X,S,3.0,BURROW IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,3.0,A1 B1 C1, , , , , , ,P,C, ,P, , , ,C, , , , , , , ,C, ,FUC-P BAR-C ULV-P RED-C NER-C,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (NER)",269.0,7.8,9.1,55.9,227.0,58.7,19.8,1.4,INCLINED CLIFF OF MODERATE HEIGHT (BEDROCK), , , ,RAMP PLATFORM (BEDROCK), , , , , , ,1031.9019963620526,76.71192343819082
Camano Head,48.053302,-122.358319,3587.591,4489.0,6/3/296/0,L,25.0,66.0,10.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990720.0,V, ,"1:12,000",WA 1997-06,1997.0,20:59:49,T30N_R03E SE,18423,SP,P,X,P,5.0,B,A,X,E,7.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,15.0,538.14,30.0,A1 B1 B2 C1, , , , , , , ,P, ,P, , , , , ,P,P, , , ,P, , ,BAR-P ULV-P SBR-P SAR-P ZOS-P,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",172.0,19.0,3.1,12.8,172.0,19.0,7.8,2.3,"HIGH, STEEP CLIFF (TILL)", , , ,"BEACH FACE (SAND, PEBBLE)",BEACH FACE (SAND), , , , , ,3587.632397366362,242.53863915435346
Camano Island State Park,48.129063,-122.504218,2424.728,4453.0,6/3/260/0,L,25.0,66.0,10.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990720.0,V, ,"1:12,000",WA 1997-06,1997.0,20:49:29,T31N_R02E SE,18423,SP,P,X,P,5.0,B,M,X,E,7.0,CAMANO IS. ST. PARK,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,10.0,242.47,21.0,A1 A2 B1 B2 C1, , , , , , , ,P, ,C, , , , , ,P,C, , , ,C, , ,BAR-P ULV-C SBR-P SAR-C ZOS-C,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",212.0,6.9,4.2,3.8,140.0,13.7,5.4,2.3,"LOW, STEEP CLIFF (TILL)","BEACH BERM (LOGS OVERLYING SAND, PEBBLE)", , ,"BEACH FACE (SAND, PEBBLE)","BEACH FACE (VENEER OF PEBBLE, COBBLE, BOULDER OVERLYING SAND)", , , , , ,2424.826924972597,114.06824454045942
Camp Casey,48.1616,-122.684334,2408.969,3748.0,6/1/061/0,L,25.0,18.0,4.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,V, ,"1:12,000",WA 1997-04,1997.0,20:02:44,T31N_R01E SE,18423,SE,SE,SE,SE,3.0,B,M,X,E,9.0,ADMIRALTY HEAD,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,20.0,A1 A2 B1 B2 C1, , , , , , , , , , , , , , , ,P, , ,P, , ,P, ,SBR-P SUR-P NER-P,"KELP (SBR, NER), SURFGRASS (SUR)",254.0,6.6,56.3,12.9,278.0,132.3,21.1,1.3,"HIGH, STEEP CLIFF (TILL)","BEACH BERM (LOGS OVERLYING SAND, PEBBLE)", , ,"BEACH FACE (SAND, PEBBLE)","BEACH FACE (SAND, PEBBLE, COBBLE)", , , , , ,2409.0715051551356,107.74303131511635
Canoe Pass,48.408773,-122.645138,1053.569,3696.0,6/1/009/0,L,3.0,4.0,3.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,V, ,"1:12,000",WA 1997-04,1997.0,19:40:59,T34N_R01E SE,18423,SE,P,X,P,3.0,X,S,X,S,5.0,PASS ISLAND,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,2.0,A1 B1 C1,N, , , , , , ,C, , , , , , , ,P, , , , , , , ,VER-N BAR-C SBR-P,"LICHEN (VER), BARNACLES (BAR), KELP (SBR)",261.0,68.4,0.3,0.6,255.0,103.8,11.7,1.3,"HIGH, STEEP CLIFF (BEDROCK)", , , ,"HIGH, STEEP CLIFF (BEDROCK)", , , , , , ,1053.5876399244507,27.427458319302286
Chupp Point,48.938125,-125.304601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosse Point,48.917407,-125.250444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalco Shallows,47.33373,-122.518971,1226.388,2953.0,5/2/157/0,L,25.0,66.0,10.0,Starkes,Harper,19990306.0,V,Dethier,Dethier,19990305.0,SV,WA 1997-16-7,"1:12,000",WA 1997-09,1997.0,21:28:54,T21N_R02E NE,18445,P,P,SP,SP,4.0,B,M,X,E,6.0,POINT DALCO,30.0,WB,30.0,367.92, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,50.0,613.19,25.0,A1 B1 B2 C1, , , , , , , ,P, ,P, , , , , , ,C, , , , ,C, ,BAR-P ULV-P SAR-C NER-C,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER), SARGASSUM (SAR)",228.0,4.7,3.4,2.8,144.0,8.4,3.8,2.4,"HIGH, STEEP CLIFF (TILL)", , , ,LOW INCLINED CLIFF WITH FAN (LIVE TREES OVERLYING TILL),"BEACH FACE (SAND, PEBBLE)", , , , ,SLOPE FAILURE,1226.3924911295235,8.924509385111929
Dash Point State Park,47.323263,-122.412404,1365.761,2648.0,5/1/175/0,L,28.0,74.0,11.0,Starkes,Harper,19990222.0,V,Dethier,Dethier,19990304.0,V, ,"1:12,000",WA 1997-08,1997.0,21:58:23,T21N_R03E NE,18445,SP,SP,SP,SP,3.0,F,A,X,A,9.0,DASH POINT STATE PK,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,100.0,1365.76,100.0,A1 B1 C1, , , , , , , , , ,P, , , , , , , , , , ,P, , ,ULV-P ZOS-P,"GREEN ALGAE (ULV), EELGRASS (ZOS)",348.0,5.6,11.2,4.8,270.0,12.2,6.7,2.4,BEACH BERM (SAND), , , ,"DELTA WITH CHANNEL, FAN, AND BARS (SAND)", , , , , , ,1365.755666716129,266.4571314190805
Day Island Kelp,47.2373,-122.563345,4259.42,1500.0,4/2/012/0,L,25.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-06,1999.0,20:11:02,T20N_R02E NW,18445,SP,SP,X,SP,3.0,A,M,X,S,9.0,DAYS IS,100.0,CB,40.0,1703.77,RR,40.0,1703.77,WB,20.0,851.88,0.0,0.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 B2 C1, , , , , , ,P,P, ,C, , , ,P, ,C,C, , , , ,C, ,FUC-P BAR-P ULV-C RED-P SBR-C SAR-C NER-C,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR, NER), SARGASSUM (SAR)",277.0,3.1,2.2,3.7,217.0,20.6,4.8,3.0,"SEAWALL (CONCRETE, RIPRAP, WOOD)", , , ,"BEACH FACE (SAND); JETTY (CONCRETE, WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF COBBLE, PEBBLE OVERLYING SAND)", , , , , ,4259.4569978005875,50.453239186300884
Day Island Wall,47.241984,-122.564551,4259.42,1500.0,4/2/012/0,L,25.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-06,1999.0,20:11:02,T20N_R02E NW,18445,SP,SP,X,SP,3.0,A,M,X,S,9.0,DAYS IS,100.0,CB,40.0,1703.77,RR,40.0,1703.77,WB,20.0,851.88,0.0,0.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 B2 C1, , , , , , ,P,P, ,C, , , ,P, ,C,C, , , , ,C, ,FUC-P BAR-P ULV-C RED-P SBR-C SAR-C NER-C,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR, NER), SARGASSUM (SAR)",277.0,3.1,2.2,3.7,217.0,20.6,4.8,3.0,"SEAWALL (CONCRETE, RIPRAP, WOOD)", , , ,"BEACH FACE (SAND); JETTY (CONCRETE, WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF COBBLE, PEBBLE OVERLYING SAND)", , , , , ,4259.4569978005875,62.37413892847376
Day Island Wall - North,47.242693,-122.565324,4259.42,1500.0,4/2/012/0,L,25.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-06,1999.0,20:11:02,T20N_R02E NW,18445,SP,SP,X,SP,3.0,A,M,X,S,9.0,DAYS IS,100.0,CB,40.0,1703.77,RR,40.0,1703.77,WB,20.0,851.88,0.0,0.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 B2 C1, , , , , , ,P,P, ,C, , , ,P, ,C,C, , , , ,C, ,FUC-P BAR-P ULV-C RED-P SBR-C SAR-C NER-C,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR, NER), SARGASSUM (SAR)",277.0,3.1,2.2,3.7,217.0,20.6,4.8,3.0,"SEAWALL (CONCRETE, RIPRAP, WOOD)", , , ,"BEACH FACE (SAND); JETTY (CONCRETE, WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF COBBLE, PEBBLE OVERLYING SAND)", , , , , ,4259.4569978005875,126.79436007322559
Day Island Wall - South,47.240821,-122.56565,4259.42,1500.0,4/2/012/0,L,25.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-06,1999.0,20:11:02,T20N_R02E NW,18445,SP,SP,X,SP,3.0,A,M,X,S,9.0,DAYS IS,100.0,CB,40.0,1703.77,RR,40.0,1703.77,WB,20.0,851.88,0.0,0.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 B2 C1, , , , , , ,P,P, ,C, , , ,P, ,C,C, , , , ,C, ,FUC-P BAR-P ULV-C RED-P SBR-C SAR-C NER-C,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR, NER), SARGASSUM (SAR)",277.0,3.1,2.2,3.7,217.0,20.6,4.8,3.0,"SEAWALL (CONCRETE, RIPRAP, WOOD)", , , ,"BEACH FACE (SAND); JETTY (CONCRETE, WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF COBBLE, PEBBLE OVERLYING SAND)", , , , , ,4259.4569978005875,131.99838250980935
Deadmans Bay,48.512846,-123.147129,259.316,5564.0,8/1/029/0,L,7.0,2.0,1.0,Harper,Harper,19940906.0,VPCT,Morris,Dethier,20000523.0,V, ,"1:12,000",WA 1994-01,1994.0,11:31:25,T35N_R04W SE,18433,SE,SE,X,SE,5.0,X,S,X,S,3.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,25.0,A1 B1 B2 C1,M, , , , , ,P,P, ,P, , , ,P, , , ,P, , , ,C, ,VER-M FUC-P BAR-P ULV-P RED-P CHB-P NER-C,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (CHB, NER)",175.0,36.7,54.4,0.2,223.0,54.4,15.3,1.3,RAMP PLATFORM (BEDROCK), , , ,"BEACH FACE (LOGS OVERLYING COBBLE, PEBBLE)",HIGH TIDE PLATFORM (BEDROCK), , , , , ,259.3187684424222,63.69155481996855
Deception Pass,48.405541,-122.64517,247.958,3697.0,6/1/010/0,L,3.0,4.0,3.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,V, ,"1:12,000",WA 1997-04,1997.0,19:41:04,T34N_R01E SE,18423,SE,P,X,P,3.0,X,S,X,S,5.0,DECEPTION PASS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,3.0,A1 B1 C1,N, , , , , , ,C, , , , , , , ,P, , , , , , , ,VER-N BAR-C SBR-P,"LICHEN (VER), BARNACLES (BAR), KELP (SBR)",332.0,0.5,0.1,0.9,260.0,113.5,11.1,1.3,"HIGH, STEEP CLIFF (BEDROCK)", , , ,"HIGH, STEEP CLIFF (BEDROCK)", , , , , , ,247.96258223249527,8.43605938588775
Derelict Conveyor,48.855254,-122.730835,2507.179,4899.0,7/1/091/0,L,25.0,66.0,10.0,Reimer,Harper,19990609.0,VPC,Dethier,Dethier,19990624.0,V, ,"1:12,000",WA 1997-01,1997.0,17:29:10,T39N_R01E SW,18423,SE,SP,X,SP,4.0,A,M,X,S,6.0,CHERRY POINT,20.0,LF,20.0,501.44, ,0.0,0.0, ,0.0,0.0,1.0,1.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 C1, ,P, , , , , , , ,C, , , , , , ,P, , , , , , ,GRA-P ULV-C SAR-P,"DUNE GRASS (GRA), GREEN ALGAE (ULV), SARGASSUM (SAR)",205.0,19.1,28.3,4.4,289.0,69.1,20.3,1.7,BEACH BERM (LOGS OVERLYING PEBBLE); LANDFILL (FILL), , , ,BEACH FACE (PEBBLE OVERLYING SAND), , , , , , ,2507.233780909215,94.49948420078928
Devils Head,47.167216,-122.76049,1738.098,1562.0,4/2/075/0,L,30.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,SV,WA 1999-8-34,"1:12,000",WA 1999-05,1999.0,18:43:01,T19N_R01W NE,18445,SP,P,X,P,4.0,A,M,X,S,8.0,DEVILS HEAD,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,30.0,521.43,25.0,A1 A2 B1 B2 C1, , , , , , , ,P, ,C, , , , , ,P, , , , , , , ,BAR-P ULV-C SBR-P,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR)",155.0,9.1,4.9,2.7,149.0,10.7,4.4,3.0,"HIGH, STEEP CLIFF (LIVE TREES OVERLYING TILL); HIGH, STEEP CLIFF (TILL)","LOW INCLINED CLIFF, RAMP (LOGS OVERLYING TILL, SAND)", , ,"BEACH FACE (VENEER OF PEBBLE, COBBLE OVERLYING SAND)",BEACH WITH LOW TIDE TERRACE (VENEER OF PEBBLE OVERLYING SAND), , , , , ,1738.149658648126,117.34743229661235
Dickman Mill,47.278304,-122.471,1127.126,2680.0,5/1/209/0,L,32.0,94.0,9.0,Starkes,Harper,19990222.0,V,Dethier,Dethier,19990304.0,V, ,"1:12,000",WA 1997-08,1997.0,22:09:39,T21N_R03E SW,18445,SP,SP,X,SP,3.0,A,M,X,S,4.0, ,100.0,LF,100.0,1127.13, ,0.0,0.0, ,0.0,0.0,0.0,1.0,0.0,0.0,N,0.0,0.0,10.0,A1 B1 C1, , , , , , ,P,P, , , , , , , , , , , , , , , ,FUC-P BAR-P,"ROCKWEED (FUC), BARNACLES (BAR)",33.0,3.7,4.9,7.7,27.0,13.3,5.0,2.4,"LANDFILL, WHARF (FILL, WOOD)", , , ,"LANDFILL, WHARF (FILL, WOOD)", , , , ,WHARF (WOOD),OLD PILE SUPPORTED MILL/DOCK PILINGS,1127.1231998044464,68.52873227950535
Driftwood Park,48.162897,-122.637203,950.346,3757.0,6/1/070/0,L,22.0,66.0,10.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,V, ,"1:12,000",WA 1997-04,1997.0,20:05:13,T31N_R01E SE,18423,SP,SP,X,SP,4.0,A,M,X,A,4.0,ADMIRALTY BAY,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,15.0,A1 A2 B1 C1, ,P, ,P, , , , , , , , , , , , , , , , , , , ,GRA-P TRI-P,"DUNE GRASS (GRA), SALT MARSH (TRI)",181.0,29.1,15.1,3.9,181.0,29.1,9.1,1.3,"OPEN LAGOON (PEBBLE, SAND)",BEACH BERM (PEBBLE), , ,BEACH FACE (PEBBLE), , , , , , ,950.3750353250994,84.72096133209575
Dune Peninsula Breakwater,47.306618,-122.508605,2974.634,2689.0,5/1/218/0,L,32.0,94.0,9.0,Starkes,Harper,19990222.0,V,Dethier,Dethier,19990304.0,V, ,"1:12,000",WA 1997-08,1997.0,22:12:16,T21N_R02E NE,18445,VP,SP,X,SP,3.0,B,M,X,E,4.0,RUSTON,100.0,LF,100.0,2974.63, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,2.0,A1 B1 C1, , , , , , ,P,C, , , , ,P, , ,P, , , , , , , ,FUC-P BAR-C MUS-P SBR-P,"ROCKWEED (FUC), BARNACLES (BAR), MUSSELS (MUS), KELP (SBR)",48.0,0.0,0.0,0.0,318.0,0.2,0.0,2.4,"LANDFILL, SEAWALL (FILL, RIPRAP)", , , ,"LANDFILL (FILL, RIPRAP)", , , , , , ,2974.6445471655124,31.39854456472528
Eagle Point,48.458027,-123.036267,1809.228,5614.0,8/1/079/0,L,4.0,2.0,1.0,Harper,Harper,19940907.0,VPCT,Morris,Dethier,20000523.0,V, ,"1:12,000",WA 1994-01,1994.0,11:41:43,T34N_R03W NE,18434,SE,SE,SE,SE,1.0,X,S,X,S,3.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,10.0,A1 B1 C1,M, , , , , ,P,C, , , , ,P, , , , ,P,P, , ,P, ,VER-M FUC-P BAR-C MUS-P CHB-P SUR-P NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), MUSSELS (MUS), KELP (CHB, NER), SURFGRASS (SUR)",140.0,31.7,37.3,0.5,146.0,86.7,26.6,1.3,RAMP PLATFORM (BEDROCK), , , ,RAMP PLATFORM (BEDROCK), , , , , , ,1809.2500782828822,13.199317141456435
Ebeys Landing,48.194185,-122.722828,2236.202,3739.0,6/1/052/0,L,25.0,18.0,4.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,V, ,"1:12,000",WA 1997-04,1997.0,19:59:13,T31N_R01E NW,18423,SE,SE,SE,SE,3.0,A,M,X,S,9.0,EBEYS LANDING,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,22.0,A1 A2 B1 B2 C1, , , , , , , , , ,P, , , , , ,C, , , , , ,C, ,ULV-P SBR-C NER-C,"GREEN ALGAE (ULV), KELP (SBR, NER)",199.0,8.4,16.7,20.0,277.0,133.4,23.0,1.3,"HIGH, STEEP CLIFF (TILL)",BEACH BERM (LOGS OVERLYING PEBBLE), , ,"BEACH FACE (PEBBLE, SAND)","BEACH FACE (COBBLE, PEBBLE, SAND)", , , , , ,2236.2861467544144,259.0918864642086
Edgewater Beach Park,47.952599,-122.290503,1440.825,4700.0,6/3/515/0,L,32.0,94.0,9.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990721.0,V, ,"1:12,000",WA 1997-06,1997.0,22:01:58,T29N_R04E SE,18423,SP,P,X,P,5.0,A,M,X,S,5.0, ,100.0,RR,100.0,1440.83, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,30.0,A1 B1 B2 C1,N, , , , , ,P,C, ,C, , , , , , , , , , , , , ,VER-N FUC-P BAR-C ULV-C,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV)",343.0,6.4,11.5,5.1,325.0,24.0,7.1,2.3,SEAWALL (RIPRAP), , , ,BEACH FACE (SAND); SEAWALL (RIPRAP),BEACH WITH LOW TIDE TERRACE (SAND), , , , ,BURLINGTON NORTHERN RAILBED,1440.8224221416037,37.77029521066543
Ediz Hook Log Pile,48.141211,-123.436541,6242.069,512.0,2/1/102/0,L,24.0,20.0,7.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,SV,WA 1995-26-34,"1:12,000",WA 1995-06,1995.0,20:24:09,T31N_R6W SE,18465,SP,P,P,P,5.0,A,A,W,S,7.0,MID EDIZ HOOK,40.0,RR,30.0,1872.62,LF,10.0,624.21, ,0.0,0.0,2.0,4.0,10.0,1.0,N,0.0,0.0,28.0,A1 B1 B2 B3 B4 C1, , , , , , , , , ,C, , , , , ,P,P, , , , , , ,ULV-C SBR-P SAR-P,"GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR)",184.0,2.3,2.7,3.9,100.0,14.2,3.8,1.6,"SEAWALL, LANDFILL (RIPRAP)", , , ,BEACH BERM (LOGS OVERLYING PEBBLE),"BEACH FACE (SAND, PEBBLE); PILINGS, LOG DUMP, JETTY (WOOD)","BEACH WITH BAR (VENEER OF PEBBLE OVERLYING SAND, GRAVEL); LOG DUMP (WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF PEBBLE OVERLYING SAND, GRAVEL)", ,AQUACULTURE (METAL), ,6242.043199331708,50.23644025896071
Ediz Hook Rock Pile,48.139562,-123.415522,1314.337,513.0,2/1/103/0,L,32.0,48.0,9.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,V, ,"1:12,000",WA 1995-06,1995.0,20:25:16,T31N_R6W SE,18465,P,P,P,P,5.0,A,M,W,S,5.0,COAST GUARD STN,100.0,RR,100.0,1314.34, ,0.0,0.0, ,0.0,0.0,0.0,2.0,0.0,1.0,N,0.0,0.0,10.0,A1 B1 B2 C1, , , , , , ,P,P, , , , , , , , , , , , ,P,P, ,FUC-P BAR-P ZOS-P NER-P,"ROCKWEED (FUC), BARNACLES (BAR), KELP (NER), EELGRASS (ZOS)",192.0,2.6,3.1,3.3,108.0,8.4,3.4,1.6,SEAWALL (RIPRAP), , , ,SEAWALL (RIPRAP),"BREAKWATER, JETTY (CONCRETE, METAL, LOGS)", , , , , ,1314.3305091340642,92.83819981926897
Ediz Hook RockPile,48.140197,-123.422831,6242.069,512.0,2/1/102/0,L,24.0,20.0,7.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,SV,WA 1995-26-34,"1:12,000",WA 1995-06,1995.0,20:24:09,T31N_R6W SE,18465,SP,P,P,P,5.0,A,A,W,S,7.0,MID EDIZ HOOK,40.0,RR,30.0,1872.62,LF,10.0,624.21, ,0.0,0.0,2.0,4.0,10.0,1.0,N,0.0,0.0,28.0,A1 B1 B2 B3 B4 C1, , , , , , , , , ,C, , , , , ,P,P, , , , , , ,ULV-C SBR-P SAR-P,"GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR)",184.0,2.3,2.7,3.9,100.0,14.2,3.8,1.6,"SEAWALL, LANDFILL (RIPRAP)", , , ,BEACH BERM (LOGS OVERLYING PEBBLE),"BEACH FACE (SAND, PEBBLE); PILINGS, LOG DUMP, JETTY (WOOD)","BEACH WITH BAR (VENEER OF PEBBLE OVERLYING SAND, GRAVEL); LOG DUMP (WOOD)","BEACH WITH LOW TIDE TERRACE (VENEER OF PEBBLE OVERLYING SAND, GRAVEL)", ,AQUACULTURE (METAL), ,6242.043199331708,88.87553468958443
Edmonds Pipeline,47.812146,-122.388686,1416.573,2502.0,5/1/028/0,L,32.0,94.0,9.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:12:48,T27N_R03E SE,18445,P,SP,SP,SP,3.0,X,S,X,S,4.0,EDMONDS MARINA,100.0,RR,80.0,1133.26,WB,20.0,283.31, ,0.0,0.0,0.0,1.0,0.0,2.0,N,0.0,0.0,5.0,A1 B1 C1,N, , , , , ,C,C, ,C, , , , , , , , , , , ,P, ,VER-N FUC-C BAR-C ULV-C NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER)",337.0,0.1,0.1,0.1,247.0,8.0,0.3,2.4,"BREAKWATER (RIPRAP, WOOD)", , , ,"BREAKWATER (RIPRAP, WOOD)", , , , , ,OUTSIDE BREAKWATER,1416.561351516447,106.29335716766101
Edmonds Underwater Park,47.815161,-122.382522,732.888,2499.0,5/1/025/0,L,30.0,74.0,11.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:12:28,T27N_R03E SE,18445,SP,SP,SP,SP,3.0,A,M,SW,S,9.0,EDMONDS,40.0,RR,40.0,293.16, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,Y,0.0,0.0,30.0,A1 B1 B2 C1, , , , , , , ,P, ,C, , , , , , , , , , , , , ,BAR-P ULV-C,"BARNACLES (BAR), GREEN ALGAE (ULV)",310.0,14.6,10.2,7.7,322.0,38.7,13.4,2.4,BEACH BERM (LOGS OVERLYING ORGANIC LITTER OVERLYING SAND); SEAWALL (RIPRAP), , , ,BEACH FACE (LOGS OVERLYING SAND),BEACH WITH LOW TIDE TERRACE (SAND), , , , , ,732.8749374370691,158.38079525367675
