SiteName,NRDA_CLASS_1.0,NRDA_CLASS_3.0,NRDA_CLASS_4.0,NRDA_CLASS_5.0,NRDA_CLASS_7.0,NRDA_CLASS_9.0,NRDA_CLASS_10.0,NRDA_CLASS_11.0
McCurdy Point,False,False,False,True,False,False,False,False
Metridium Wall,False,False,False,False,False,False,True,False
Mike's Beach Resort,False,False,False,False,False,False,False,True
Misery Point,False,False,False,False,False,False,False,True
Mukilteo Edgewater Park,False,False,False,False,False,False,True,False
Mukilteo Fuel Pier,False,False,False,False,False,True,False,False
Mukilteo Lighthouse,False,False,False,False,False,False,True,False
Mukilteo T-Dock,False,False,False,False,False,True,False,False
Narrows Bridge (Tacoma Side),False,False,False,False,False,False,True,False
Narrows Bridge (Tacoma side),False,False,False,False,False,False,True,False
Norrander's,False,False,False,False,False,False,True,False
North Beach,False,False,False,True,False,False,False,False
North Wall Deception Pass,False,False,False,False,False,True,False,False
North Wall Point Defiance,False,False,False,False,False,False,True,False
Northwest Island,False,False,True,False,False,False,False,False
O'Neal Island,False,True,False,False,False,False,False,False
Octopus Hole,False,False,False,False,False,False,True,False
Olalla Boat Launch,False,False,False,False,False,False,True,False
Old Tacoma Outboard Association,False,False,False,False,False,False,True,False
Old Town Dock,False,False,False,False,False,True,False,False
Orcas Island Eelgrass,False,False,False,False,True,False,False,False
Owen Beach,False,False,False,False,False,False,True,False
Partridge Point,False,False,True,False,False,False,False,False
Picnic Cove,False,True,False,False,False,False,False,False
Pile Point,True,False,False,False,False,False,False,False
Pirate Cove,False,True,False,False,False,False,False,False
Point Caution,False,True,False,False,False,False,False,False
Point Dalco,False,False,False,False,False,False,True,False
Point Defiance Boathouse,False,False,False,False,False,False,True,False
Point Defiance North Wall,False,False,False,False,False,True,False,False
Point Defiance Wall,False,False,False,False,False,True,False,False
Point Defiance West Kelp Beds,False,False,False,False,False,False,True,False
Point Defiance West Wall,False,False,False,False,False,True,False,False
Point George,False,True,False,False,False,False,False,False
Point Hudson,False,False,False,False,False,True,False,False
Point Ruston,False,False,False,False,False,True,False,False
Point Ruston Ferry,False,False,False,False,False,True,False,False
Point Vashon,False,False,False,False,False,False,True,False
Point Whitehorn,False,False,False,False,False,False,True,False
Point Whitney Shellfish Lab,False,False,False,False,False,False,False,True
Possession Point Ferry,False,False,False,False,False,True,False,False
Possession Point Fingers,False,False,False,False,False,False,True,False
Pulali Point,False,False,False,False,False,False,False,True
Pulali Point West Wall,False,False,False,False,False,True,False,False
Redondo Beach,False,False,False,False,False,False,True,False
Reef Point,False,False,False,False,False,True,False,False
Reuben Tarte,False,True,False,False,False,False,False,False
Richmond Beach,False,False,False,False,False,False,False,True
Rock 305,True,False,False,False,False,False,False,False
Rosario Beach Urchin Rocks,False,False,True,False,False,False,False,False
Rosario Beach Urchin Rocks North,False,False,True,False,False,False,False,False
Rosario Head,True,False,False,False,False,False,False,False
Rosario Wall,False,False,False,False,False,True,False,False
Rosie's Ravine,False,False,False,False,False,True,False,False
Ruston - Katie Downs,False,False,False,False,False,True,False,False
Salmon Beach,False,False,False,False,False,False,True,False
Salt Creek,True,False,False,False,False,False,False,False
Saltar's Point,False,False,False,False,False,False,False,True
Saltwater State Park,False,False,False,False,False,False,True,False
Sares Head,True,False,False,False,False,False,False,False
Scenic Beach State Park,False,False,False,False,False,False,False,True
Seabeck Bay,False,False,False,False,False,False,False,True
Seattle Waterfront,False,False,False,False,False,True,False,False
Sekiu,False,False,False,False,False,True,False,False
Shirttail Reef,False,True,False,False,False,False,False,False
Sirens of Spring,False,False,False,False,False,True,False,False
Skyline,True,False,False,False,False,False,False,False
Smallpox Bay,True,False,False,False,False,False,False,False
South Hat Island,False,False,False,False,False,False,True,False
Speiden Southwest,False,True,False,False,False,False,False,False
Squaxin Island,False,False,False,False,False,False,False,True
Steilacoom Marina,False,False,False,False,False,False,False,True
Strawberry Falls,True,False,False,False,False,False,False,False
Sucia Island - Lawson's Bluff,False,False,False,False,False,True,False,False
Sucia Island - Shallow Bay,False,False,False,False,False,True,False,False
Sund Rock,False,False,False,False,False,False,True,False
Sund Rock North,False,False,False,False,False,False,True,False
Sund Rock South,False,False,False,False,False,True,False,False
Sunnyside Beach Park,False,False,False,False,False,False,False,True
Sunrise Beach State Park,False,False,False,False,False,False,True,False
Tacoma Narrows,False,False,False,False,False,False,True,False
Tacoma Narrows - Point Evans,False,False,False,False,False,False,True,False
Tacoma Old Town Pier,False,False,False,False,False,True,False,False
Teahwhit Head,True,False,False,False,False,False,False,False
The Pinnacle,False,False,False,False,False,False,False,True
Thea's Park - Foss Waterway,False,False,False,False,False,True,False,False
Three Tree Point,False,False,False,False,False,False,True,False
Three Tree Point North,False,False,False,False,False,False,True,False
Tire Reef N Saltwater State Park,False,False,False,False,False,True,False,False
Titlow Beach Park,False,False,False,False,False,False,False,True
Tongue Point,True,False,False,False,False,False,False,False
Triton Cove,False,False,False,False,False,False,False,True
Triton Head,False,False,False,False,False,False,False,True
Urchin Rocks South,True,False,False,False,False,False,False,False
Watmaugh Bay,False,True,False,False,False,False,False,False
Whale Rocks,True,False,False,False,False,False,False,False
Widmer Reef,False,False,False,False,False,True,False,False
Wing Point,False,False,False,False,False,False,True,False
Wreck of the Ranger,False,False,False,False,False,True,False,False
Yellow House,False,False,False,False,False,False,False,True
Young Island West,False,True,False,False,False,False,False,False
Z's Reef,False,False,False,False,False,False,False,True
